City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yar-Sale,100,RU,1586733453,98,66.83,70.83,21.54,10.07
Chui,34,UY,1586733454,83,-33.7,-53.46,63.68,10.07
Tura,0,IN,1586733428,36,25.52,90.22,69.17,2.53
Kruisfontein,3,ZA,1586733457,80,-34.0,24.73,54.12,7.09
Xique-Xique,52,BR,1586733458,70,-10.82,-42.73,77.67,3.31
São Filipe,23,CV,1586733459,78,14.9,-24.5,73.58,10.87
Peniche,75,PT,1586733460,87,39.36,-9.38,57.99,8.05
Vao,85,NC,1586733461,72,-22.67,167.48,77.5,4.14
Cabo San Lucas,5,MX,1586733315,49,22.89,-109.91,75.0,10.29
Kirakira,100,SB,1586733463,71,-10.45,161.92,84.11,4.97
Hojāi,0,IN,1586733465,46,26.0,92.87,70.77,1.97
Homer,90,US,1586733466,75,59.64,-151.55,44.6,3.94
Bandarbeyla,22,SO,1586733467,74,9.49,50.81,80.1,6.85
Buala,93,SB,1586733468,75,-8.14,159.59,84.78,7.72
Mil'kovo,97,RU,1586733469,87,54.72,158.62,30.58,0.49
Kiryat Gat,0,IL,1586733470,87,31.61,34.76,57.99,2.24
Acapulco de Juárez,40,MX,1586733471,78,16.86,-99.89,82.4,8.05
Clyde River,90,CA,1586733473,85,70.47,-68.59,10.4,25.28
Shagonar,8,RU,1586733474,59,51.53,92.8,40.17,0.51
Whitehorse,90,CA,1586733475,28,60.72,-135.05,44.6,16.11
Belaya Gora,65,RU,1586733476,89,68.53,146.42,8.67,4.7
Östersund,16,SE,1586733477,79,63.18,14.64,28.4,20.8
Mossamedes,21,AO,1586733478,74,-15.2,12.15,76.17,2.93
Dzilam González,0,MX,1586733479,38,21.28,-88.93,91.76,17.31
Airai,44,TL,1586733480,65,-8.93,125.41,68.59,0.63
Bay City,90,US,1586733481,51,43.59,-83.89,60.8,13.87
Roquetas de Mar,90,ES,1586733483,87,36.76,-2.61,60.01,3.36
Pisco,1,PE,1586733484,30,-13.7,-76.22,75.0,23.04
Bethel,20,US,1586733485,54,41.37,-73.41,60.01,6.93
Saint Paul Harbor,90,US,1586733486,87,57.79,-152.41,42.8,3.36
Carbonia,62,IT,1586733487,63,39.17,8.52,60.8,6.93
Rudnogorsk,0,RU,1586733488,79,57.26,103.75,32.16,3.33
Ponta do Sol,75,PT,1586733489,72,32.67,-17.1,62.6,13.87
Bhusāval,0,IN,1586733491,15,21.05,75.77,83.26,5.08
Bam,94,IR,1586733492,38,29.11,58.36,67.57,3.83
Bathsheba,20,BB,1586733493,65,13.22,-59.52,80.6,14.99
Guadix,75,ES,1586733494,82,37.3,-3.14,57.2,4.7
Qaanaaq,93,GL,1586733495,77,77.48,-69.36,14.95,3.8
Nhulunbuy,24,AU,1586733496,78,-12.23,136.77,82.4,3.36
Verkhnyaya Inta,100,RU,1586733497,94,65.98,60.31,18.61,5.57
Rāzole,0,IN,1586733498,94,16.48,81.83,74.41,0.56
Saskylakh,99,RU,1586733499,92,71.92,114.08,3.61,18.1
Sabang,78,ID,1586733501,75,5.89,95.32,82.71,9.66
Dikson,100,RU,1586733502,96,73.51,80.55,13.23,17.31
Los Llanos de Aridane,40,ES,1586733503,63,28.66,-17.92,66.2,12.75
Goroka,96,PG,1586733504,52,-6.08,145.39,70.45,2.53
Egvekinot,23,RU,1586733505,86,66.32,-179.17,22.91,1.54
Richards Bay,29,ZA,1586733506,82,-28.78,32.04,76.26,15.3
Northam,96,GB,1586733507,74,51.03,-4.22,57.0,8.01
Lata,75,PT,1586733508,87,40.16,-8.33,57.99,8.05
Kedgwick,100,CA,1586733510,88,47.64,-67.34,36.39,7.0
Turukhansk,100,RU,1586733511,96,65.82,87.98,35.49,10.4
Butaritari,95,KI,1586733512,79,3.07,172.79,83.14,15.73
Hambantota,7,LK,1586733513,82,6.12,81.12,80.02,8.95
Balabac,59,PH,1586733514,69,7.99,117.06,84.16,9.19
Santo Augusto,0,BR,1586733515,46,-27.85,-53.78,71.6,5.82
Xining,26,CN,1586733516,22,36.62,101.77,43.2,3.51
Norman Wells,75,CA,1586733518,40,65.28,-126.83,37.4,8.05
Dhārchula,17,IN,1586733519,18,29.85,80.53,60.17,8.77
Karratha,19,AU,1586733520,60,-20.74,116.85,83.17,6.13
Sitka,75,US,1586733521,61,57.05,-135.33,48.2,5.82
Stryn,99,NO,1586733522,96,61.9,6.72,37.0,10.0
Qiongshan,14,CN,1586733523,56,20.01,110.35,68.0,8.95
Deputatsky,39,RU,1586733525,86,69.3,139.9,6.42,3.47
Arraial do Cabo,82,BR,1586733526,64,-22.97,-42.03,74.17,7.52
Asahi,75,JP,1586733527,100,35.72,140.65,51.8,20.8
Klaksvík,93,FO,1586733528,83,62.23,-6.59,32.0,9.17
Fort Nelson,20,CA,1586733317,27,58.81,-122.7,41.0,4.7
Mpophomeni,93,ZA,1586733531,85,-29.57,30.19,66.99,1.54
Isangel,75,VU,1586733532,74,-19.55,169.27,82.4,4.7
Bealanana,46,MG,1586733533,69,-14.55,48.73,63.1,4.9
Ban Nahin,88,LA,1586733534,59,18.24,104.21,64.74,4.92
Broome,75,US,1586733535,33,42.25,-75.83,62.6,9.17
Fichē,49,ET,1586733536,40,9.8,38.73,54.99,1.25
Kualakapuas,82,ID,1586733537,94,-3.01,114.39,77.0,1.88
Ilabaya,7,PE,1586733538,46,-17.42,-70.51,62.69,3.2
Hong Kong,44,HK,1586733539,36,22.29,114.16,63.0,11.41
Korla,70,CN,1586733540,86,41.76,86.15,57.0,5.01
Hervey Bay,3,AU,1586733541,68,-25.3,152.85,75.99,10.29
Hasaki,75,JP,1586733543,100,35.73,140.83,51.8,20.8
Margate,20,GB,1586733544,87,51.38,1.39,55.99,14.99
Coyhaique,40,CL,1586733545,76,-45.58,-72.07,51.8,3.36
Santa Rosa,75,PH,1586733546,78,14.31,121.11,81.0,4.7
Trincomalee,75,LK,1586733547,80,8.57,81.23,80.28,4.0
Fortuna,1,US,1586733548,71,40.6,-124.16,63.0,16.11
Obo,100,CF,1586733549,75,5.4,26.49,70.81,2.44
Palu,52,ID,1586733550,62,-0.89,119.87,83.17,1.74
Cayenne,20,GF,1586733487,74,4.93,-52.33,80.6,8.05
Alofi,77,NU,1586733553,66,-19.06,-169.92,84.2,13.87
Bubaque,37,GW,1586733554,73,11.28,-15.83,79.11,9.98
Sonegaon,40,IN,1586733555,47,20.65,78.68,80.6,3.36
Ketchikan,1,US,1586733556,24,55.34,-131.65,55.4,11.41
Ürümqi,34,CN,1586733557,30,43.8,87.6,53.6,2.24
Walvis Bay,0,NA,1586733354,68,-22.96,14.51,66.2,3.36
Bairiki Village,75,KI,1586733559,70,1.33,172.98,87.8,14.99
Tuatapere,49,NZ,1586733560,79,-46.13,167.68,46.0,10.0
Arahal,54,ES,1586733562,82,37.19,-5.55,61.0,5.82
Hirara,75,JP,1586733563,42,24.8,125.28,68.0,14.99
Verkhniy Mamon,82,RU,1586733564,76,50.16,40.38,36.97,5.97
Aykhal,75,RU,1586733565,89,66.0,111.5,32.0,8.95
Kiama,100,AU,1586733398,67,-34.68,150.87,64.0,9.17
Ilulissat,100,GL,1586733567,90,69.22,-51.1,35.6,4.7
Arrondissement de Mende,74,FR,1586733568,49,44.67,3.5,35.8,4.45
Guerrero Negro,42,MX,1586733569,66,27.98,-114.06,63.14,17.87
Naberera,100,TZ,1586733570,66,-4.2,36.93,63.14,3.18
Saint-Philippe,93,RE,1586733517,78,-21.36,55.77,73.99,4.7
Taoudenni,42,ML,1586733573,14,22.68,-3.98,84.9,9.31
Hamilton,90,US,1586733387,93,39.18,-84.53,57.2,3.36
Nesna,100,NO,1586733575,86,66.2,13.02,33.89,47.09
Ryōtsu-minato,100,JP,1586733576,71,38.08,138.43,51.8,20.8
Portland,20,US,1586733286,17,45.52,-122.68,66.99,16.11
Port Macquarie,0,AU,1586733578,71,-31.43,152.92,69.01,5.82
Caravelas,35,BR,1586733579,85,-17.71,-39.25,77.65,16.04
Lal'sk,0,RU,1586733580,94,60.74,47.59,23.11,3.58
Sisimiut,70,GL,1586733581,92,66.94,-53.67,32.99,17.9
Port-Gentil,77,GA,1586733582,73,-0.72,8.78,79.84,2.8
Nodeland,0,NO,1586733584,44,58.16,7.84,39.2,8.05
Kaitangata,88,NZ,1586733585,61,-46.28,169.85,51.01,1.99
Ambilobe,68,MG,1586733586,81,-13.2,49.05,75.16,6.02
Iralaya,20,HN,1586733486,66,15.0,-83.23,87.8,11.41
Nānākuli,20,US,1586733588,57,21.39,-158.15,82.4,11.41
Itaituba,63,BR,1586733484,94,-4.28,-55.98,76.53,1.61
Lang Son,100,VN,1586733590,69,21.83,106.73,59.41,1.32
New Norfolk,75,AU,1586733507,81,-42.78,147.06,57.0,3.36
Castro,22,BR,1586733507,68,-24.79,-50.01,57.7,6.04
College,75,US,1586733593,33,64.86,-147.8,46.4,1.43
Lima,26,PE,1586733460,78,-12.04,-77.03,73.4,13.87
Krasnogorsk,89,RU,1586733596,40,55.82,37.32,37.4,6.71
Datia,51,IN,1586733597,22,25.67,78.47,80.96,5.39
Ust'-Omchug,100,RU,1586733598,86,61.15,149.63,20.79,0.04
Inírida,100,CO,1586733599,81,3.87,-67.92,79.09,2.66
The Valley,20,AI,1586733600,66,18.22,-63.06,84.2,11.41
Saint-Alexandre,87,FR,1586733601,61,44.23,4.62,55.4,2.24
Pochutla,40,MX,1586733602,62,15.74,-96.47,86.0,28.86
Adrar,75,MR,1586733603,18,20.5,-10.07,79.32,13.2
Laas,98,IT,1586733605,41,46.62,10.7,50.0,1.12
Narsaq,98,GL,1586733538,69,60.92,-46.05,37.4,9.17
Istok,20,XK,1586733607,50,42.78,20.49,51.8,4.7
Codrington,48,AU,1586733568,65,-38.27,141.97,56.5,8.16
Micheweni,79,TZ,1586733609,82,-4.97,39.83,81.34,13.38
Victor Harbor,0,AU,1586733610,71,-35.57,138.62,66.0,1.12
Zhigansk,100,RU,1586733611,98,66.77,123.37,31.8,8.57
Genoa,98,IT,1586733612,26,44.41,8.96,57.99,3.0
Lakes Entrance,100,AU,1586733613,75,-37.88,147.98,55.0,1.01
Guayaramerín,98,BO,1586733614,91,-10.84,-65.36,75.96,1.7
Nizhniy Tsasuchey,51,RU,1586733616,42,50.52,115.13,46.99,17.34
Teya,4,RU,1586733617,93,60.38,92.63,29.64,2.17
Havøysund,75,NO,1586733519,86,71.0,24.66,28.4,14.99
Ayr,75,GB,1586733471,73,55.46,-4.63,42.8,12.75
Kutum,57,SD,1586733620,18,14.2,24.67,63.28,5.39
Moose Factory,1,CA,1586733621,74,51.26,-80.61,28.4,14.99
Calvinia,0,ZA,1586733622,62,-31.47,19.78,46.92,1.5
Corrales,75,US,1586733623,29,35.24,-106.61,66.0,8.05
Saint-Pierre,100,RE,1586733625,78,-21.34,55.48,73.99,4.7
Beringovskiy,100,RU,1586733557,95,63.05,179.32,18.25,8.32
Yangi Marg`ilon,90,UZ,1586733627,82,40.43,71.72,59.0,2.24
Bredasdorp,2,ZA,1586733628,76,-34.53,20.04,53.6,85.23
Lorengau,40,PG,1586733629,70,-2.02,147.27,84.76,3.13
Baillif,15,GP,1586733630,69,16.02,-61.75,80.6,6.93
Mopti,65,ML,1586733631,26,14.67,-4.0,91.06,7.0
Nambucca Heads,0,AU,1586733632,68,-30.65,153.0,69.01,6.93
Palmer,75,US,1586733634,47,42.16,-72.33,57.0,10.29
Hua Hin,48,TH,1586733635,76,12.57,99.96,79.07,5.01
Hobyo,45,SO,1586733636,77,5.35,48.53,82.87,9.93
Raudeberg,99,NO,1586733555,80,61.99,5.14,35.01,24.16
Comodoro Rivadavia,30,AR,1586733638,51,-45.87,-67.5,60.8,8.05
Taltal,7,CL,1586733639,76,-25.4,-70.48,61.61,2.77
Canmore,75,CA,1586733640,79,51.08,-115.35,26.01,8.05
Faanui,72,PF,1586733641,68,-16.48,-151.75,83.57,9.48
Māngrol,0,IN,1586733642,58,21.12,70.12,79.29,12.86
Maceió,22,BR,1586733590,88,-9.67,-35.74,77.0,4.7
Pevek,49,RU,1586733645,91,69.7,170.31,10.99,11.48
Hanchuan,3,CN,1586733646,93,30.65,113.77,46.4,2.24
Ostrovnoy,100,RU,1586733519,92,68.05,39.51,28.09,24.11
Chara,5,RU,1586733648,79,56.91,118.26,25.66,0.63
Priego de Córdoba,75,ES,1586733649,82,37.44,-4.2,60.01,4.7
Carnarvon,1,AU,1586733534,100,-24.87,113.63,75.2,14.99
Leningradskiy,89,RU,1586733651,86,69.38,178.42,21.27,2.77
Khatanga,48,RU,1586733520,95,71.97,102.5,6.64,9.89
Morant Bay,20,JM,1586733559,79,17.88,-76.41,84.2,29.97
Akdepe,89,TM,1586733654,70,42.06,59.38,51.8,6.93
Santa Cruz de la Sierra,0,BO,1586733604,45,-17.8,-63.17,84.2,11.41
Wanxian,94,CN,1586733657,53,30.8,108.39,60.76,3.53
Aldan,93,RU,1586733525,82,58.6,125.39,27.79,7.29
Asău,0,RO,1586733659,49,46.43,26.4,46.4,16.11
Mosquera,75,CO,1586733623,52,4.71,-74.23,64.4,11.41
Beloha,0,MG,1586733661,71,-25.17,45.05,73.22,5.17
Nioki,100,CD,1586733662,89,-2.72,17.68,72.18,1.7
Inta,100,RU,1586733663,94,66.03,60.17,18.48,5.91
Katsuura,75,JP,1586733664,93,35.13,140.3,51.8,14.99
Patacamaya,3,BO,1586733665,17,-17.23,-67.92,49.3,1.32
Hibbing,90,US,1586733667,64,47.43,-92.94,32.0,13.87
Xingyi,99,CN,1586733668,49,24.19,102.82,50.13,3.36
Srednekolymsk,90,RU,1586733669,93,67.45,153.68,16.41,8.37
Constitución,9,CL,1586733670,70,-35.33,-72.42,51.93,8.48
Kloulklubed,75,PW,1586733671,83,7.04,134.26,82.4,5.82
Torbat-e Jām,86,IR,1586733672,64,35.24,60.62,54.72,4.99
Monrovia,75,LR,1586733673,94,6.3,-10.8,75.2,3.36
‘Ewa Beach,20,US,1586733674,57,21.32,-158.01,82.4,11.41
Lüderitz,7,NA,1586733675,100,-26.65,15.16,60.8,10.29
San Patricio,40,MX,1586733497,78,19.22,-104.7,82.4,9.17
Puerto Asís,92,CO,1586733678,85,0.51,-76.5,74.86,0.36
Bartica,20,GY,1586733679,78,6.4,-58.62,78.8,6.93
Baykit,16,RU,1586733680,94,61.67,96.37,29.5,0.72
Vysokogornyy,0,RU,1586733681,53,50.12,139.15,40.64,1.25
Kompaniyivka,42,UA,1586733682,63,48.25,32.21,39.65,7.14
Michigan City,90,US,1586733387,87,41.71,-86.89,61.0,10.29
Yerbogachën,16,RU,1586733684,83,61.28,108.01,32.65,3.78
Bikaner,58,IN,1586733685,21,28.02,73.3,87.22,11.14
Nuuk,90,GL,1586733686,69,64.18,-51.72,37.4,38.03
Bayshore Gardens,1,US,1586733688,55,27.43,-82.59,91.0,16.11
Olafsvik,100,IS,1586733689,86,64.89,-23.71,42.28,27.31
Te Anau,45,NZ,1586733534,72,-45.42,167.72,42.91,11.27
Yining,0,CN,1586733691,57,29.04,114.56,55.96,1.88
Barcelos,90,PT,1586733577,93,41.54,-8.62,55.4,9.17
Lompoc,90,US,1586733693,72,34.64,-120.46,62.01,12.75
Vehari,78,PK,1586733557,28,30.03,72.35,80.6,5.23
Teguise,20,ES,1586733695,68,29.06,-13.56,64.4,8.05
Camalú,8,MX,1586733696,54,30.85,-116.07,63.0,13.0
Krasnogorskoye,78,RU,1586733697,82,52.3,86.2,33.98,3.0
Lagoa,3,PT,1586733698,83,39.05,-27.98,61.11,9.01
San Cristobal,40,VE,1586733659,58,7.77,-72.22,87.8,6.93
Viña del Mar,90,CL,1586733701,62,-33.02,-71.55,59.0,3.36
Mount Isa,23,AU,1586733702,27,-20.73,139.5,77.0,12.35
Caçu,7,BR,1586733703,75,-18.56,-51.13,71.38,1.99
Opunake,44,NZ,1586733704,64,-39.46,173.86,62.01,10.0
Zinacantán,5,MX,1586733705,30,16.75,-92.7,93.2,11.41
Seminole,90,US,1586733536,69,28.71,-81.21,89.6,14.99
Vanimo,100,PG,1586733707,85,-2.67,141.3,79.54,9.46
Praia da Vitória,75,PT,1586733708,77,38.73,-27.07,60.8,11.65
Kendari,85,ID,1586733710,87,-3.94,122.5,80.28,1.83
Río Gallegos,96,AR,1586733711,66,-51.62,-69.22,53.6,19.46
Lebu,0,CL,1586733712,71,-37.62,-73.65,52.05,12.37
Porto-Novo,40,BJ,1586733713,83,6.5,2.6,84.2,11.41
Patan,75,NP,1586733714,82,27.67,85.33,64.4,2.24
Antofagasta,90,CL,1586733715,77,-23.65,-70.4,64.4,10.29
Arrondissement de Morlaix,90,FR,1586733716,87,48.58,-4.0,53.6,5.82
Uvalde,1,US,1586733717,42,29.37,-99.77,82.4,20.8
Bani Walid,27,LY,1586733719,61,31.76,13.99,56.7,5.53
Cabadiangan,29,PH,1586733720,66,9.75,122.47,81.37,3.62
Kovernino,0,RU,1586733721,90,57.13,43.81,27.41,3.62
Iranshahr,100,IR,1586733722,32,27.2,60.68,78.3,1.21
Kushiro,75,JP,1586733723,80,42.98,144.37,35.6,8.05
Santoña,75,ES,1586733724,100,43.44,-3.46,57.99,4.7
Black River,20,JM,1586733725,74,18.03,-77.85,86.0,12.75
Rock Sound,16,BS,1586733607,83,24.9,-76.2,76.78,21.39
Metro,54,ID,1586733727,89,-5.11,105.31,76.87,2.95
Varhaug,75,NO,1586733728,69,58.61,5.65,36.0,29.97
Fuerte Olimpo,0,PY,1586733729,49,-21.04,-57.87,75.31,3.47
Sharlyk,62,RU,1586733731,79,52.92,54.75,34.9,10.2
Salalah,20,OM,1586733732,69,17.02,54.09,82.4,8.05
Panjāb,94,AF,1586733733,36,34.39,67.02,38.32,2.84
Gazli,78,UZ,1586733734,53,40.13,63.45,58.48,8.59
Tautira,48,PF,1586733735,66,-17.73,-149.15,89.6,5.82
Worland,90,US,1586733736,42,44.02,-107.96,30.99,17.22
Bambous Virieux,40,MU,1586733737,83,-20.34,57.76,77.0,12.75
Valparaíso,90,CL,1586733738,62,-33.04,-71.63,59.0,3.36
Ortona,83,IT,1586733739,66,42.35,14.4,54.0,5.82
Kahului,75,US,1586733740,65,20.89,-156.47,78.8,12.75
Padilla,75,CO,1586733742,73,3.22,-76.31,77.0,3.36
Galesong,20,ID,1586733743,94,-5.32,119.37,77.0,4.7
Bata,40,GQ,1586733744,100,1.86,9.77,78.8,4.7
Nortelândia,96,BR,1586733745,83,-14.45,-56.8,75.67,0.56
Luau,90,AO,1586733746,71,-10.71,22.22,64.49,3.0
Watsa,98,CD,1586733747,76,3.04,29.54,65.3,2.95
Thanatpin,0,MM,1586733748,88,17.21,96.3,77.0,5.82
Tzucacab,3,MX,1586733749,29,20.07,-89.05,93.02,7.38
Tambura,100,SS,1586733750,69,5.6,27.47,72.18,3.53
Wanning,83,CN,1586733751,68,18.8,110.4,68.63,9.31
Mayo,90,US,1586733752,59,38.89,-76.51,70.0,13.87
Rabaul,81,PG,1586733754,66,-4.2,152.17,86.05,3.53
Toshām,60,IN,1586733755,29,28.88,75.92,81.25,2.82
Soyo,99,AO,1586733756,89,-6.13,12.37,77.16,7.65
New Iberia,90,US,1586733757,94,30.0,-91.82,80.6,16.11
Carahue,0,CL,1586733758,66,-38.7,-73.17,53.6,8.05
Rudersdorf,69,AT,1586733759,62,47.04,16.14,57.99,3.36
Samoded,96,RU,1586733760,89,63.61,40.51,29.28,13.69
Taunggyi,1,MM,1586733761,37,20.78,97.03,60.3,1.86
Biak,3,ID,1586733763,67,-0.91,122.88,81.23,1.41
Touros,74,BR,1586733764,83,-5.2,-35.46,80.6,9.17
Inhambane,0,MZ,1586733765,83,-23.86,35.38,75.13,11.23
Maniitsoq,100,GL,1586733766,95,65.42,-52.9,32.43,30.2
Mackay,75,AU,1586733767,88,-21.15,149.2,79.0,10.29
São João da Barra,84,BR,1586733768,74,-21.64,-41.05,73.02,8.21
Raja,73,SS,1586733769,42,8.46,25.68,75.06,3.42
West Bay,40,KY,1586733770,79,19.37,-81.42,84.99,10.29
Cap Malheureux,40,MU,1586733539,83,-19.98,57.61,77.0,12.75
Oeiras,100,BR,1586733773,84,-7.03,-42.13,76.32,0.56
Port Keats,89,AU,1586733774,73,-14.25,129.55,82.85,6.15
Ancud,20,CL,1586733775,87,-41.87,-73.82,50.0,3.36
Sète,83,FR,1586733776,76,43.4,3.7,57.99,6.93
Rio Grande,40,BR,1586733777,85,-32.03,-52.1,64.0,13.98
Shingū,75,JP,1586733778,87,33.73,135.98,46.4,19.46
Rørvik,83,NO,1586733780,77,64.86,11.24,36.5,45.45
Kaduqli,86,SD,1586733781,12,11.02,29.72,81.01,14.61
